freq_GHz,wavelength_m,R,T,A_raw,A,RL_dB
1.1483333333e+01,2.6106745254e-02,9.9608211041e-01,4.8686321775e-04,3.4310263692e-03,3.4310263692e-03,-1.7048597395e-02
1.1766666667e+01,2.5478112578e-02,9.9577818625e-01,4.9700035158e-04,3.7248134008e-03,3.7248134008e-03,-1.8373917139e-02
1.2050000000e+01,2.4879042158e-02,9.9545874722e-01,5.0716201272e-04,4.0340907676e-03,4.0340907676e-03,-1.9767328501e-02
1.2333333333e+01,2.4307496595e-02,9.9512414100e-01,5.1729459608e-04,4.3585643996e-03,4.3585643996e-03,-2.1227379576e-02
1.2616666667e+01,2.3761621506e-02,9.9477490766e-01,5.2733909211e-04,4.6977532453e-03,4.6977532453e-03,-2.2751779670e-02
1.2900000000e+01,2.3239725426e-02,9.9441179722e-01,5.3723133058e-04,5.0509714531e-03,5.0509714531e-03,-2.4337320781e-02
1.3183333333e+01,2.2740262301e-02,9.9403578461e-01,5.4690240363e-04,5.4173129881e-03,5.4173129881e-03,-2.5979810170e-02
1.3466666667e+01,2.2261816188e-02,9.9364808097e-01,5.5627928710e-04,5.7956397458e-03,5.7956397458e-03,-2.7674018761e-02
1.3750000000e+01,2.1803087855e-02,9.9325014005e-01,5.6528567240e-04,6.1845742753e-03,6.1845742753e-03,-2.9413650353e-02
1.4033333333e+01,2.1362882993e-02,9.9284365877e-01,5.7384301321e-04,6.5824982124e-03,6.5824982124e-03,-3.1191336569e-02
1.4316666667e+01,2.0940101839e-02,9.9243057079e-01,5.8187178026e-04,6.9875574331e-03,6.9875574331e-03,-3.2998662061e-02
1.4600000000e+01,2.0533730000e-02,9.9201303234e-01,5.8929290495e-04,7.3976747590e-03,7.3976747590e-03,-3.4826223675e-02
1.4883333333e+01,2.0142830325e-02,9.9159339985e-01,5.9602937866e-04,7.8105707673e-03,7.8105707673e-03,-3.6663726026e-02
1.5166666667e+01,1.9766535692e-02,9.9117419915e-01,6.0200796102e-04,8.2237928913e-03,8.2237928913e-03,-3.8500114278e-02
1.5450000000e+01,1.9404042589e-02,9.9075808651e-01,6.0716093702e-04,8.6347525552e-03,8.6347525552e-03,-4.0323742939e-02
1.5733333333e+01,1.9054605381e-02,9.9034780256e-01,6.1142785273e-04,9.0407695908e-03,9.0407695908e-03,-4.2122577212e-02
1.6016666667e+01,1.8717531197e-02,9.8994612016e-01,6.1475715274e-04,9.4391226833e-03,9.4391226833e-03,-4.3884421219e-02
1.6300000000e+01,1.8392175337e-02,9.8955578824e-01,6.1710764039e-04,9.8271041203e-03,9.8271041203e-03,-4.5597165243e-02
1.6583333333e+01,1.8077937166e-02,9.8917947358e-01,6.1844968626e-04,1.0202076732e-02,1.0202076732e-02,-4.7249042424e-02
1.6866666667e+01,1.7774256403e-02,9.8881970323e-01,6.1876611998e-04,1.0561530650e-02,1.0561530650e-02,-4.8828884136e-02
1.7150000000e+01,1.7480609796e-02,9.8847880984e-01,6.1805275581e-04,1.0903137406e-02,1.0903137406e-02,-5.0326362836e-02
1.7433333333e+01,1.7196508107e-02,9.8815888250e-01,6.1631852240e-04,1.1224798980e-02,1.1224798980e-02,-5.1732211568e-02
1.7716666667e+01,1.6921493396e-02,9.8786172515e-01,6.1358518894e-04,1.1524689657e-02,1.1524689657e-02,-5.3038410454e-02
1.8000000000e+01,1.6655136556e-02,9.8758882432e-01,6.0988670361e-04,1.1801288977e-02,1.1801288977e-02,-5.4238332439e-02
